Requisition Number,Recorded by,Received Date,Received Time,Status,Status Text,Status Date,Status Time,Priority,Priority Text,Category,Category Text,Problem,Problem Text,Department,Department Text,Division,Division Text,Related Asset Type,After Hours,Call Back Requested,Billing Flag,Projected Start Date,Facility Building,Facility Building Text,Location,Location Text,Primary Residence,Street Number,Street Direction,Street Name,Street Type,Street Suffix,Street 2 Direction,Street 2 Name,Street 2 Type,Other Location Information
19-000087,Person 3,2/13/2019 0:00,1/1/1900 9:17,1,New Request,2/13/2019 0:00,1/1/1900 9:17,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,207,W,Green,St,,,,,Large potholes all along Green Street
19-000081,Person 15,2/12/2019 0:00,1/1/1900 12:12,1,New Request,2/12/2019 0:00,1/1/1900 12:12,,,SWCMH,Manholes,SWP7,Manhole Cover Missing/Damaged,STR,Streets,OPST,Streets,Sewer Structure,FALSE,,FALSE,,,,,,FALSE,,S,Lincoln,Ave,,,,,in front of the McKinley Health Center
19-000078,Person 15,2/11/2019 0:00,1/1/1900 16:08,1,New Request,2/11/2019 0:00,1/1/1900 16:08,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,W,California,Ave,,,,,800 block o California just East of Lincoln
19-000077,Person 15,2/11/2019 0:00,1/1/1900 14:57,1,New Request,2/11/2019 0:00,1/1/1900 14:57,,,SWCGM,Gravity Mains,SWP37,Back up,STR,Streets,OPST,Streets,Sewer Pipe,FALSE,,FALSE,,,,,,FALSE,604,,Stoughton,St,,,,,
19-000073,Person 15,2/8/2019 0:00,1/1/1900 11:01,1,New Request,2/8/2019 0:00,1/1/1900 11:01,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,yes,FALSE,,,,,,TRUE,205,N,Gregory,St,,,,,
19-000071,Person 1,2/7/2019 0:00,1/1/1900 14:20,1,New Request,2/7/2019 0:00,1/1/1900 14:20,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,209,W,Green,St,,,,,
19-000064,Person 1,2/5/2019 0:00,1/1/1900 14:45,1,New Request,2/5/2019 0:00,1/1/1900 14:45,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,E,Florida,Ave,,,,,between Race and Vine
19-000054,Person 1,1/29/2019 0:00,1/1/1900 11:29,1,New Request,1/29/2019 0:00,1/1/1900 11:29,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,,Perkins,Rd,,,,,right before township road starts
19-000047,Person 1,1/28/2019 0:00,1/1/1900 12:18,1,New Request,1/28/2019 0:00,1/1/1900 12:18,,,STM80,Sidewalk,STP18,Standing water,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,604,E,Elm,St,,,,,
19-000046,Person 1,1/28/2019 0:00,1/1/1900 10:34,1,New Request,1/28/2019 0:00,1/1/1900 10:34,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,,Hartle,Ave,,,,,
19-000038,Person 15,1/22/2019 0:00,1/1/1900 12:57,999,Completed,1/23/2019 0:00,1/1/1900 9:32,,,STT7,Street Lighting,STTP5,Streetlight Out,STR,Streets,OPST,Streets,Street Light,FALSE,,FALSE,,,,,,FALSE,505,,Eliot,Dr,,,Cureton,Dr,
19-000037,Person 15,1/22/2019 0:00,1/1/1900 12:39,1,New Request,1/22/2019 0:00,1/1/1900 12:39,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,W,Florida,Ave,,S,Vine,St,"Florida right hand lane facing east between race and vine, but closer to vine"
19-000001,Person 15,1/2/2019 0:00,1/1/1900 12:55,1,New Request,1/2/2019 0:00,1/1/1900 12:55,,,STM60,Streets,STP18,Standing water,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,,Willow,Ct,,,,,
18-000714,Person 1,12/18/2018 0:00,1/1/1900 13:21,1,New Request,12/18/2018 0:00,1/1/1900 13:21,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,2409,,Somerset,Dr,,,,,few feet down from the end of the driveway
18-000682,Person 15,11/29/2018 0:00,1/1/1900 16:32,1,New Request,11/29/2018 0:00,1/1/1900 16:32,,,STT7,Street Lighting,STTP5,Streetlight Out,STR,Streets,OPST,Streets,Street Light,FALSE,,FALSE,,,,,,FALSE,,S,Lincoln,Ave,,E,Green,St,Circle K at Lincoln and Green
18-000676,Person 15,11/27/2018 0:00,1/1/1900 10:04,1,New Request,11/27/2018 0:00,1/1/1900 10:04,,,STM60,Streets,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,S,Coler,Ave,,W,Nevada,St,
18-000638,Person 4,11/8/2018 0:00,1/1/1900 13:46,1,New Request,11/8/2018 0:00,1/1/1900 13:46,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,104,,Central,Ave,,,Locust,St,SE Corner of Central and Locust
18-000632,Person 3,11/6/2018 0:00,1/1/1900 13:12,1,New Request,11/6/2018 0:00,1/1/1900 13:12,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,2007,,Federal,Dr,,,,,Near FedEx across from Peoria Charter
18-000622,Person 15,11/1/2018 0:00,1/1/1900 11:02,1,New Request,11/1/2018 0:00,1/1/1900 11:02,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,1409,,Dublin,St,,,,,Alley by the Word for Life Church
18-000619,Person 15,10/31/2018 0:00,1/1/1900 12:41,1,New Request,10/31/2018 0:00,1/1/1900 12:41,,,STT7,Street Lighting,STTP5,Streetlight Out,STR,Streets,OPST,Streets,Street Light,FALSE,,FALSE,,,,,,FALSE,1310,,Montgomery,St,,,,,
18-000616,Person 15,10/30/2018 0:00,1/1/1900 12:36,999,Completed,12/12/2018 0:00,1/1/1900 15:14,,,STTCAB,Cabinets,STTP29,Traffic Signal Failure,STR,Streets,OPSTT,Traffic,Street Cabinet,FALSE,,FALSE,,,,,,FALSE,,,Cunningham,Ave,,,Airport,Rd,Cunningham Ave from Airport road down to 74 and then Cunningham and Main
18-000613,Person 15,10/30/2018 0:00,1/1/1900 9:44,1,New Request,10/30/2018 0:00,1/1/1900 9:44,,,STM60,Streets,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,108,,Franklin,St,,,,,
18-000611,Person 1,10/29/2018 0:00,1/1/1900 15:59,1,New Request,10/29/2018 0:00,1/1/1900 15:59,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,4,,Rainbow,Ct,,,,,
18-000602,Person 1,10/25/2018 0:00,1/1/1900 12:53,1,New Request,10/25/2018 0:00,1/1/1900 12:53,,,STM80,Sidewalk,STP38,Pothole,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,1701,,Lydia,Ct,,,,,
18-000590,Person 9,10/23/2018 0:00,1/1/1900 14:39,951,WO Cancelled,12/12/2018 0:00,1/1/1900 15:20,,,STTCAB,Cabinets,,,STR,Streets,OPSTT,Traffic,Street Cabinet,FALSE,,FALSE,,,,,,FALSE,111,S,Vine,St,,,,,
18-000553,Person 1,10/16/2018 0:00,1/1/1900 10:41,1,New Request,10/16/2018 0:00,1/1/1900 10:41,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,,,Central,Ave,,E,Main,St,between Main and Locust
18-000550,Person 1,10/15/2018 0:00,1/1/1900 11:07,1,New Request,10/15/2018 0:00,1/1/1900 11:07,,,STM60,Streets,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,,Myra Ridge,Dr,,,Lydia,Ct,On the Northwest Corner
18-000544,Person 15,10/10/2018 0:00,1/1/1900 16:26,1,New Request,10/10/2018 0:00,1/1/1900 16:26,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,TRUE,1410,N,Broadway,Ave,,,,,
18-000536,Person 1,10/9/2018 0:00,1/1/1900 15:58,1,New Request,10/9/2018 0:00,1/1/1900 15:58,,,STM60,Streets,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,717,S,Broadway,Ave,,,,,Unit #4
18-000522,Person 1,10/5/2018 0:00,1/1/1900 7:55,998,WO Completed,11/7/2018 0:00,1/1/1900 14:51,,,SWCMH,Manholes,SWP5,Sinkhole/Settlement,STR,Streets,OPST,Streets,Sewer Structure,FALSE,,FALSE,10/8/2018 0:00,,,,,FALSE,1602,,Grove,St,,,,,
18-000515,Person 1,10/3/2018 0:00,1/1/1900 10:24,1,New Request,10/3/2018 0:00,1/1/1900 10:24,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,,W,Park,St,,,,,Across Crystal Lake Park
18-000514,Person 1,10/2/2018 0:00,1/1/1900 15:49,1,New Request,10/2/2018 0:00,1/1/1900 15:49,,,STT6,Signs,STTP41,Missing Sign,STR,Streets,OPST,Streets,Street Sign,FALSE,,FALSE,,,,,,FALSE,,S,Cottage Grove,Ave,,,Fairlawn,Dr,
18-000513,Person 1,10/2/2018 0:00,1/1/1900 13:20,998,WO Completed,10/4/2018 0:00,1/1/1900 9:46,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,10/2/2018 0:00,,,,,FALSE,304,,Fairlawn,Dr,,,,,close to Urbana Middle School
18-000499,Person 15,9/26/2018 0:00,1/1/1900 12:01,998,WO Completed,9/28/2018 0:00,1/1/1900 10:36,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,9/27/2018 0:00,,,,,FALSE,5,,Florida,Dr,,,,,
18-000498,Person 15,9/26/2018 0:00,1/1/1900 10:13,951,WO Cancelled,10/18/2018 0:00,1/1/1900 14:36,,,SWCMH,Manholes,STP18,Standing water,STR,Streets,OPSW,Sewers,Sewer Structure,FALSE,,FALSE,,,,,,FALSE,1703,E,Florida,Ave,,,,,
18-000464,Person 1,9/18/2018 0:00,1/1/1900 8:09,999,Completed,9/25/2018 0:00,1/1/1900 10:14,,,SWCGM,Gravity Mains,SWP5,Sinkhole/Settlement,STR,Streets,ENGS,Engineering Sewers,Sewer Pipe,FALSE,,FALSE,,,,,,FALSE,,E,Main,St,,N,Lynn,St,Main/ east of Lynn
18-000445,Person 1,9/14/2018 0:00,1/1/1900 12:59,998,WO Completed,9/25/2018 0:00,1/1/1900 9:43,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,9/25/2018 0:00,,,,,FALSE,409,,Griggs,St,,,,,
18-000444,Person 1,9/14/2018 0:00,1/1/1900 12:43,998,WO Completed,9/28/2018 0:00,1/1/1900 12:09,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,9/27/2018 0:00,,,,,FALSE,2710,,Susan Stone,Dr,,,,,
18-000439,Person 1,9/13/2018 0:00,1/1/1900 15:08,1,New Request,9/13/2018 0:00,1/1/1900 15:08,,,STM60,Streets,FORT210,resident concern,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,W,Oaks,Rd,,N,Lincoln,Ave,Right before Transfer Station
18-000409,Person 1,9/5/2018 0:00,1/1/1900 14:34,998,WO Completed,10/8/2018 0:00,1/1/1900 13:57,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,10/5/2018 0:00,,,,,FALSE,1304,,Beslin,St,,,,,
18-000405,Person 3,9/4/2018 0:00,1/1/1900 17:00,998,WO Completed,9/28/2018 0:00,1/1/1900 10:48,,,STM60,Streets,STP16,Rough Pavement,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,9/27/2018 0:00,,,,,FALSE,2501,,Pond,St,,,,,
18-000404,Person 3,9/4/2018 0:00,1/1/1900 16:59,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:13,,,STM60,Streets,,,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,200,S,Coler,Ave,,,,,
18-000403,Person 3,9/4/2018 0:00,1/1/1900 16:56,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:14,,,STM80,Sidewalk,,,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,1802,S,Race,St,,W,Florida,Ave,George Huff Dr
18-000402,Person 3,9/4/2018 0:00,1/1/1900 16:54,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:14,,,STM80,Sidewalk,,,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,3000,,Philo,Rd,,,Trails,Dr,From the Pines south
18-000396,Person 1,8/31/2018 0:00,1/1/1900 11:14,1,New Request,8/31/2018 0:00,1/1/1900 11:14,,,STT7,Street Lighting,STTP5,Streetlight Out,STR,Streets,OPST,Streets,Street Light,FALSE,,FALSE,,,,,,FALSE,205,,Thompson,St,,,,,
18-000382,Person 3,8/29/2018 0:00,1/1/1900 7:10,998,WO Completed,9/25/2018 0:00,1/1/1900 9:35,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,9/20/2018 0:00,,,,,FALSE,,W,Country Club,Rd,,N,Broadway,Ave,
18-000379,Person 1,8/28/2018 0:00,1/1/1900 14:49,998,WO Completed,9/21/2018 0:00,1/1/1900 10:34,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,9/18/2018 0:00,,,,,TRUE,401,,Sunnycrest,Ct,West,,,,
18-000363,Person 3,8/27/2018 0:00,1/1/1900 12:15,2,Assigned to WO,10/1/2018 0:00,1/1/1900 11:33,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,503,,Birch,St,,,,,
18-000308,Person 1,8/9/2018 0:00,1/1/1900 10:32,998,WO Completed,9/25/2018 0:00,1/1/1900 9:53,,,STM60,Streets,STP16,Rough Pavement,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,8/14/2018 0:00,,,,,FALSE,403,,Pfeffer,Rd,,,,,
18-000297,Person 3,8/7/2018 0:00,1/1/1900 8:55,998,WO Completed,10/5/2018 0:00,1/1/1900 10:58,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,10/4/2018 0:00,,,,,FALSE,1410,N,Broadway,Ave,,,,,
18-000283,Person 8,8/2/2018 0:00,1/1/1900 9:34,2,Assigned to WO,10/5/2018 0:00,1/1/1900 13:20,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,2206,S,Race,St,,,,,
18-000266,Person 8,7/31/2018 0:00,1/1/1900 8:46,2,Assigned to WO,10/3/2018 0:00,1/1/1900 11:17,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,309,,Springfield,Ave,,,,,Cedar Street
18-000256,Person 1,7/27/2018 0:00,1/1/1900 12:14,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:14,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,TRUE,2008,,Cureton,Dr,,,,,
18-000253,Person 1,7/26/2018 0:00,1/1/1900 14:09,998,WO Completed,10/9/2018 0:00,1/1/1900 11:02,2,Medium,STM60,Streets,FORT210,resident concern,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,10/2/2018 0:00,,,,,TRUE,2741,E,Stone Creek,Blvd,,,,,
18-000221,Person 8,7/20/2018 0:00,1/1/1900 14:20,2,Assigned to WO,10/3/2018 0:00,1/1/1900 11:15,,,STM60,Streets,,,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,208,,Pell,Cir,,S,Vine,St,
18-000219,Person 8,7/20/2018 0:00,1/1/1900 11:12,998,WO Completed,10/4/2018 0:00,1/1/1900 9:52,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,9/28/2018 0:00,,,,,FALSE,,N,Wright,St,,W,University,Ave,Entrace to driveway behind Blood Bank going into hospital lot
18-000215,Person 4,7/19/2018 0:00,1/1/1900 14:39,998,WO Completed,10/4/2018 0:00,1/1/1900 9:55,2,Medium,STM60,Streets,STTP30,Check/Inspect Operation,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,2210,,Amber,Ln,,S,Stone Creek,Blvd,
18-000207,Person 8,7/18/2018 0:00,1/1/1900 9:39,1,New Request,7/18/2018 0:00,1/1/1900 9:39,0,Immediate,STT2,Pavement Marking,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Pavement Marking,FALSE,,FALSE,,,,,,FALSE,,,Anderson,St,,E,Mumford,Dr,South Crosswalk
18-000197,Person 1,7/16/2018 0:00,1/1/1900 14:51,999,Completed,8/29/2018 0:00,1/1/1900 6:39,2,Medium,STM80,Sidewalk,FORT210,resident concern,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,TRUE,1203,,Philo,Rd,,,,,
18-000182,Person 1,7/16/2018 0:00,1/1/1900 8:30,1,New Request,7/16/2018 0:00,1/1/1900 8:30,,,STM80,Sidewalk,STP14,Utility Work,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,,,Philo,Rd,,,,,"North of CVS pharmacy parking., east side of sidewalk"
18-000168,Person 1,7/12/2018 0:00,1/1/1900 16:01,1,New Request,7/12/2018 0:00,1/1/1900 16:01,,,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,304,S,Race,St,,,,,East Side of the Church
18-000166,Person 8,7/12/2018 0:00,1/1/1900 9:40,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:21,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,,,Oak,St,,,Bradley,Ave,
18-000164,Person 1,7/12/2018 0:00,1/1/1900 7:52,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:21,2,Medium,STM60,Streets,STP16,Rough Pavement,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,TRUE,1803,,Trails,Dr,,,,,
18-000157,Person 1,7/11/2018 0:00,1/1/1900 12:15,1,New Request,7/11/2018 0:00,1/1/1900 12:15,0,Immediate,STM60,Streets,FORT10,Dangerous immediate,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,1805,S,Cottage Grove,Ave,,,,,Where the building of Sunny Crest Manor is
18-000154,Person 8,7/11/2018 0:00,1/1/1900 9:24,2,Assigned to WO,10/9/2018 0:00,1/1/1900 11:22,2,Medium,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,311,,Abbey,Rd,,,Greystone,Ct,on Greystone Ct in cul de sac
18-000135,Person 1,7/9/2018 0:00,1/1/1900 9:17,1,New Request,7/9/2018 0:00,1/1/1900 9:17,,,STM80,Sidewalk,FORT210,resident concern,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,1903,S,George Huff,Dr,,E,Harding,Dr,
18-000117,Person 1,7/5/2018 0:00,1/1/1900 9:58,1,New Request,7/5/2018 0:00,1/1/1900 9:58,0,Immediate,STM80,Sidewalk,STP17,Trip Hazard,STR,Streets,OPST,Streets,Street Sidewalk,FALSE,,FALSE,,,,,,FALSE,,E,Main,St,,S,Broadway,Ave,
18-000081,Person 8,6/28/2018 0:00,1/1/1900 13:36,1,New Request,6/28/2018 0:00,1/1/1900 13:36,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,1408,W,University,Ave,,,,,Alley behind 1408 W University
18-000060,Person 1,6/27/2018 0:00,1/1/1900 14:36,1,New Request,6/27/2018 0:00,1/1/1900 14:36,,,STM60,Streets,,,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,N,Vine,St,,S,George Huff,Dr,
18-000058,Person 1,6/27/2018 0:00,1/1/1900 13:28,1,New Request,6/27/2018 0:00,1/1/1900 13:28,2,Medium,STM60,Streets,STP16,Rough Pavement,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,S,Lincoln,Ave,,,Springfield,Ave,Green ST
18-000037,Person 3,6/25/2018 0:00,1/1/1900 12:00,1,New Request,6/25/2018 0:00,1/1/1900 12:00,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,TRUE,,,Anderson,St,,E,Elm,St,
18-000036,Person 8,6/25/2018 0:00,1/1/1900 11:06,1,New Request,6/25/2018 0:00,1/1/1900 11:06,,,STM,Street  Maintenance,STP38,Pothole,STR,Streets,OPST,Streets,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,,N,Highlands,Dr,,E,Highlands,Dr,
18-000032,Person 1,6/25/2018 0:00,1/1/1900 9:24,1,New Request,6/25/2018 0:00,1/1/1900 9:24,,,STM60,Streets,STP38,Pothole,STR,Streets,OPST,Streets,Street Segment,FALSE,,FALSE,,,,,,FALSE,,N,High Cross,Rd,,E,University,Ave,North of University
19-000605,Person 3,8/30/2019 0:00,1/1/1900 17:29,1,New Request,8/30/2019 0:00,1/1/1900 17:29,,,STT,Traffic,STP17,Trip Hazard,STT,Traffic,OPSTT,Traffic,No Inventory Item,FALSE,,FALSE,,,,,,FALSE,,N,McCullough,St,,W,University,Ave,
19-000601,Person 15,8/29/2019 0:00,1/1/1900 15:30,951,WO Cancelled,8/30/2019 0:00,1/1/1900 10:08,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,W,Illinois,St,,W,California,Ave,in an alley between Illinois and California near Leal School
19-000598,Person 15,8/29/2019 0:00,1/1/1900 8:37,999,Completed,8/30/2019 0:00,1/1/1900 10:08,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,603,E,Pennsylvania,Ave,,,,,
19-000596,Person 15,8/28/2019 0:00,1/1/1900 15:27,999,Completed,8/30/2019 0:00,1/1/1900 10:09,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,508,W,Delaware,Ave,,,,,
19-000591,Person 15,8/27/2019 0:00,1/1/1900 13:12,999,Completed,8/30/2019 0:00,1/1/1900 10:09,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,1301,,Beardsley,Ave,,,,,Opposite side of the street
19-000577,Person 1,8/22/2019 0:00,1/1/1900 14:08,999,Completed,8/26/2019 0:00,1/1/1900 11:34,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,509,W,Main,St,,,,,
19-000570,Person 15,8/19/2019 0:00,1/1/1900 15:28,999,Completed,8/26/2019 0:00,1/1/1900 9:03,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,W,Pennsylvania,Ave,,N,Broadway,Ave,SE Corner of Pennsylvania and Broadway
19-000564,Person 1,8/14/2019 0:00,1/1/1900 10:03,999,Completed,8/15/2019 0:00,1/1/1900 7:26,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,710,,Grove,St,,,,,south side
19-000542,Person 15,8/2/2019 0:00,1/1/1900 8:27,999,Completed,8/15/2019 0:00,1/1/1900 7:26,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,S,Lincoln,Ave,,W,Pennsylvania,Ave,
19-000540,Person 1,8/2/2019 0:00,1/1/1900 8:15,999,Completed,8/15/2019 0:00,1/1/1900 7:27,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,N,Goodwin,Ave,,,Hill,St,Intersection of Hill & Goodwin and along Hill St.
19-000537,Person 1,7/30/2019 0:00,1/1/1900 15:24,999,Completed,8/15/2019 0:00,1/1/1900 7:27,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,2302,E,Main,St,,N,Smith,Rd,
19-000531,Person 1,7/23/2019 0:00,1/1/1900 15:17,951,WO Cancelled,7/29/2019 0:00,1/1/1900 13:23,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,YES,FALSE,,,,,,FALSE,2702,,Myra Ridge,Dr,,,,,
19-000529,Person 15,7/22/2019 0:00,1/1/1900 11:30,999,Completed,7/25/2019 0:00,1/1/1900 11:01,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,206,W,Michigan,Ave,,,,,
19-000499,Person 15,7/10/2019 0:00,1/1/1900 15:29,999,Completed,7/25/2019 0:00,1/1/1900 11:02,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,E,Washington,St,,,,,
19-000482,Person 15,7/3/2019 0:00,1/1/1900 8:42,999,Completed,7/25/2019 0:00,1/1/1900 11:06,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,307,S,Poplar,St,,,,,
19-000403,Person 15,6/17/2019 0:00,1/1/1900 16:13,999,Completed,7/25/2019 0:00,1/1/1900 11:03,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,306,W,High,St,,,,,
19-000402,Person 15,6/17/2019 0:00,1/1/1900 16:02,999,Completed,7/25/2019 0:00,1/1/1900 11:04,,,STT7,Street Lighting,STTP5,Streetlight Out,STT,Traffic,OPSTT,Traffic,Street Light,FALSE,,FALSE,,,,,,FALSE,,W,Pennsylvania,Ave,,,,,West of Vine
