Work Order Number,Creation Date,Start Date,End Date,Duration Actual(Hrs),Status Date,Task Code,Task Text,Resource Type,Resource Type Text,Resource,Resource Text,Unit Cost,Units,Total Cost,Default Unit Cost,Grand Total Units,Unit Cost-Regular Time,Unit Cost-Overtime,Override Unit Cost,Grand Total Cost,Time Cost,Time Cost Text,Unit of Measure,Unit of Measure Text,Additional Description
19-000914,6/25/2019,6/25/2019,6/25/2019,0,6/25/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000805,6/4/2019,6/4/2019,6/4/2019,0,6/4/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000802,6/3/2019,,,0,6/4/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000800,6/3/2019,,,664,7/30/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000782,5/29/2019,,,0,5/29/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
19-000771,5/17/2019,,,64,6/12/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
19-000771,5/17/2019,,,64,6/12/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,6.5,109.68,16.874,6.5,16.874,16.87,,109.68,1,REGULAR TIME,,,
19-000764,5/16/2019,5/15/2019,5/15/2019,0,5/16/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000750,5/14/2019,,,8,5/14/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000632,4/16/2019,,,0,4/16/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
19-000619,4/15/2019,4/15/2019,,0,4/15/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000544,3/27/2019,,,0,3/27/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000527,3/25/2019,,,0,3/26/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
19-000526,3/25/2019,,,8,3/26/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000457,3/19/2019,,,24,3/19/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000456,3/19/2019,,,24,3/19/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000454,3/19/2019,,,24,3/19/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000453,3/19/2019,,,0,3/19/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000384,2/28/2019,,,0,2/28/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000382,2/28/2019,,,0,2/28/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000350,2/20/2019,,,8,3/13/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000350,2/20/2019,,,8,3/13/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,4,67.5,16.874,4,16.874,16.87,,67.5,1,REGULAR TIME,,,
19-000348,2/20/2019,,,64,2/28/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
19-000347,2/20/2019,2/20/2019,2/20/2019,0,2/20/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000289,2/14/2019,,,0,2/14/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000285,2/13/2019,,,0,2/13/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000142,1/29/2019,1/28/2019,1/28/2019,0,1/29/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000122,1/22/2019,,,0,1/23/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000015,1/3/2019,,,400,2/22/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002213,12/28/2018,1/3/2019,1/3/2019,0,1/3/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002147,12/21/2018,,,160,12/21/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-002143,12/20/2018,,,24,12/20/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-002094,12/12/2018,,,0,12/12/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-002092,12/12/2018,,,56,1/3/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002091,12/12/2018,,,0,12/12/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-002090,12/12/2018,,,40,12/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-002090,12/12/2018,,,40,12/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002088,12/11/2018,,,0,6/28/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-002085,12/11/2018,,,8,12/11/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-002078,12/10/2018,,,2080,8/20/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,6,101.24,16.874,6,16.874,16.87,,101.24,1,REGULAR TIME,,,
18-002078,12/10/2018,,,2080,8/20/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,34.44,4,137.76,34.44,4,34.44,48.83,,137.76,1,REGULAR TIME,,,
18-002077,12/10/2018,,,56,12/11/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002001,12/5/2018,,,72,12/5/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002000,12/5/2018,,,72,12/5/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001953,11/29/2018,,,8,11/29/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001905,11/20/2018,,,224,12/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-001905,11/20/2018,,,224,12/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001905,11/20/2018,,,224,12/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001903,11/20/2018,,,24,11/20/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001902,11/20/2018,,,0,11/20/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001856,11/9/2018,,,72,12/11/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001854,11/9/2018,,,48,11/9/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001853,11/9/2018,,,56,11/9/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001852,11/9/2018,,,144,1/2/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,5,84.37,16.874,5,16.874,16.87,,84.37,1,REGULAR TIME,,,
18-001760,10/31/2018,,,56,10/31/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001757,10/31/2018,,,56,10/31/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001491,10/18/2018,,,8,10/18/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001443,10/11/2018,,,8,8/20/2019,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,34.44,1.5,51.66,34.44,1.5,34.44,48.83,,51.66,1,REGULAR TIME,,,
18-001318,10/3/2018,,,8,12/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001101,9/19/2018,,,0,9/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001101,9/19/2018,,,0,9/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001088,9/18/2018,,,8,9/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000998,9/5/2018,,,32,9/5/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000966,8/30/2018,,,0,8/30/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000965,8/30/2018,,,0,8/30/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,3,50.62,16.874,3,16.874,16.87,,50.62,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,5,84.37,16.874,5,16.874,16.87,,84.37,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,4,67.5,16.874,4,16.874,16.87,,67.5,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,3,50.62,16.874,3,16.874,16.87,,50.62,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,5,84.37,16.874,5,16.874,16.87,,84.37,1,REGULAR TIME,,,
18-000828,8/20/2018,,,536,10/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000785,8/16/2018,,,40,8/23/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000543,7/26/2018,,,0,7/26/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000538,7/25/2018,,,0,7/25/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-000537,7/25/2018,,,184,8/16/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-000537,7/25/2018,,,184,8/16/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-000537,7/25/2018,,,184,8/16/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-000537,7/25/2018,,,184,8/16/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-000510,7/23/2018,,,0,7/26/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000437,7/19/2018,,,0,7/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000436,7/19/2018,,,0,7/23/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000223,7/5/2018,,,0,7/10/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000211,7/2/2018,,,16,7/26/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000162,6/28/2018,,,0,7/26/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000147,6/27/2018,,,0,6/28/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,5,84.37,16.874,5,16.874,16.87,,84.37,1,REGULAR TIME,,,
18-000015,6/19/2018,,,256,7/30/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000013,6/19/2018,,,0,6/19/2018,FACT001,Support Services,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000751,5/14/2019,,,8,5/14/2019,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000475,3/20/2019,,,88,3/26/2019,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000331,2/18/2019,,,0,2/18/2019,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000209,2/7/2019,,,0,2/7/2019,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-002135,12/18/2018,,,64,12/18/2018,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000130,6/27/2018,,,0,7/11/2018,FACT003,Door Repair/Locksmith,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000657,4/24/2019,,,0,4/24/2019,FACT004,Misc. Bldg Rprs,1,Employee,37,EMPLOYEE 37,16.874,2.5,42.18,16.874,2.5,16.874,16.87,,42.18,1,REGULAR TIME,,,
19-000057,1/10/2019,1/7/2019,1/7/2019,0,1/16/2019,FACT004,Misc. Bldg Rprs,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-001278,8/20/2019,,,48,8/20/2019,FACT005,Misc. Electrical,1,Employee,37,EMPLOYEE 37,34.44,1.5,51.66,34.44,1.5,34.44,48.83,,51.66,1,REGULAR TIME,,,
19-000455,3/19/2019,,,0,3/19/2019,FACT005,Misc. Electrical,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000445,3/18/2019,,,16,3/18/2019,FACT005,Misc. Electrical,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001901,11/20/2018,,,8,11/20/2018,FACT005,Misc. Electrical,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000683,4/29/2019,,,0,4/29/2019,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000601,4/10/2019,,,72,4/17/2019,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000600,4/10/2019,,,0,4/10/2019,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000432,3/13/2019,,,64,3/21/2019,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000362,2/20/2019,,,0,2/20/2019,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001328,10/3/2018,,,16,10/3/2018,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000708,8/13/2018,,,1032,12/17/2018,FACT007,Misc. Plumbing,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-002089,12/12/2018,,,8,12/12/2018,FACT008,Misc. Lighting Repair,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-001256,8/13/2019,,,0,8/13/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,34.44,0.5,17.22,34.44,0.5,34.44,48.83,,17.22,1,REGULAR TIME,,,
19-000806,6/4/2019,6/4/2019,6/4/2019,0,6/4/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000473,3/20/2019,,,0,3/20/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000271,2/12/2019,,,0,2/12/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000208,2/7/2019,2/6/2019,2/6/2019,0,2/7/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002212,12/28/2018,,,40,1/7/2019,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-001999,12/5/2018,,,128,12/5/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001906,11/20/2018,,,24,11/20/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
18-001900,11/20/2018,,,192,12/13/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,20,337.48,16.874,20,16.874,16.87,,337.48,1,REGULAR TIME,,,
18-001759,10/31/2018,,,56,10/31/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-001236,9/24/2018,,,0,9/24/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000656,8/7/2018,,,192,8/31/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
18-000536,7/25/2018,,,0,7/25/2018,FACT009,Lighting Relamp,1,Employee,37,EMPLOYEE 37,16.874,0.5,8.44,16.874,0.5,16.874,16.87,,8.44,1,REGULAR TIME,,,
19-000754,5/14/2019,,,8,5/14/2019,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,6,101.24,16.874,6,16.874,16.87,,101.24,1,REGULAR TIME,,,
19-000383,2/28/2019,,,8,2/28/2019,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
19-000110,1/17/2019,,,264,2/4/2019,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,7,118.12,16.874,7,16.874,16.87,,118.12,1,REGULAR TIME,,,
19-000110,1/17/2019,,,264,2/4/2019,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,7,118.12,16.874,7,16.874,16.87,,118.12,1,REGULAR TIME,,,
18-002093,12/12/2018,,,16,12/13/2018,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-000435,7/19/2018,,,0,8/15/2018,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000063,6/21/2018,,,64,6/27/2018,FACT010,Painting,1,Employee,37,EMPLOYEE 37,16.874,10.5,177.18,16.874,10.5,16.874,16.87,,177.18,1,REGULAR TIME,,,
19-001040,7/23/2019,,,64,7/23/2019,FACT011,Appliance Repair,1,Employee,37,EMPLOYEE 37,16.874,1.5,25.31,16.874,1.5,16.874,16.87,,25.31,1,REGULAR TIME,,,
19-001024,7/22/2019,,,8,7/22/2019,FACT011,Appliance Repair,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-001957,11/29/2018,,,24,12/11/2018,FACT011,Appliance Repair,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
18-000357,6/18/2018,,,216,7/26/2018,FACT011,Appliance Repair,1,Employee,37,EMPLOYEE 37,16.874,5,84.37,16.874,5,16.874,16.87,,84.37,1,REGULAR TIME,,,
18-000357,6/18/2018,,,216,7/26/2018,FACT011,Appliance Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000280,2/12/2019,,,16,2/12/2019,FACT013,Overhead Door Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-001851,11/9/2018,,,24,11/9/2018,FACT013,Overhead Door Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
19-000512,3/22/2019,3/22/2019,3/23/2019,8,3/22/2019,FACT014,HVAC Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-002109,12/14/2018,,,512,5/23/2019,FACT014,HVAC Repair,1,Employee,37,EMPLOYEE 37,16.874,4,67.5,16.874,4,16.874,16.87,,67.5,1,REGULAR TIME,,,
18-001187,9/21/2018,,,720,12/21/2018,FACT014,HVAC Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000250,7/6/2018,,,8,8/3/2018,FACT014,HVAC Repair,1,Employee,37,EMPLOYEE 37,16.874,1,16.87,16.874,1,16.874,16.87,,16.87,1,REGULAR TIME,,,
18-000103,6/25/2018,,,0,6/25/2018,FACT014,HVAC Repair,1,Employee,37,EMPLOYEE 37,16.874,2,33.75,16.874,2,16.874,16.87,,33.75,1,REGULAR TIME,,,
